issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,merged_from_issue_ids,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
parcel_shelf_clip_failure,Parcel shelf retaining clip failure,Parcel shelf clips,body,wear_item,low,medium,[],,,"Failure of the retaining clips for the parcel shelf, a shared fault with the GTI.",Clip wear or breakage,Replace retaining clips,"[""Loose parcel shelf"", ""Broken clips""]",Inspect parcel shelf clips for damage or looseness.,1,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Shared fault with GTI models.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""CJXC"", ""DJHA"", ""DNUE""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
pcv_valve_failure,"PCV valve, turbo, and timing chain issues",PCV failure,engine,chronic_failure,high,medium,"[""1.8_TSI"", ""2.0_TSI""]",2015,,"Oil consumption, loss of power, or timing-related noises due to PCV valve, turbocharger, or timing chain faults.",Multiple component faults,"Replace PCV valve, turbocharger, or timing chain as needed","[""Oil consumption"", ""Performance issues"", ""Check engine light"", ""Loss of power"", ""Timing-related noises""]","Check for oil leaks/consumption, boost leaks, unusual turbo noises, or timing chain rattle.",1,1,"[{""video_id"": ""A10fzR5rZ1g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Timing chain stretch reported as very rare.,1,"[""ea888_engine_issues"", ""pcv_valve_failure""]","[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2015"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015""}",2015,,
plastic_oil_pan_concern_1_8_tsi,Plastic oil pan aging concern,Plastic oil pan,engine,wear_item,low,medium,"[""1.8_TSI""]",,,"Potential for future oil leaks as the plastic oil pan ages, becomes brittle, and may crack or warp.",Aging plastic,,"[""Oil leaks"", ""Brittle pan""]","Inspect oil pan for cracks, warping, or leaks.",1,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Potential future issue with aging.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
plastic_oil_pan_cracking,Plastic oil pan cracking and oil leak,Oil pan crack,engine,chronic_failure,medium,medium,[],,,"Oil pan cracks easily, even at stock height, leading to oil leaks.",,,[],Inspect the oil pan for cracks or signs of oil seepage.,1,1,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,,
premature_front_wheel_bearing_failure,Premature front wheel bearing failure,Wheel Bearing,suspension,wear_item,medium,high,[],,,Hearing a groaning sound while driving.,Premature bearing wear,Replace front wheel bearing,"[""Groaning or humming noise from wheels""]","Listen for unusual noises while driving, especially when turning",1,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""Watch This Before Buying a Volkswagen Golf MK7 2015-2021"", ""channel"": ""AutoMotivate"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015-2020""}",2015-2020,"[""all""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
rain_x_sensor_fouling,Rain-X fouls washer fluid sensor,Sensor fouling,electrical,sensor_fault,low,medium,[],,,"Rain-X products coat the sensor prongs, causing false low washer fluid warnings.",,,[],Check washer fluid sensor function if warning light is on with full reservoir.,1,1,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,,
rear_footwell_water_leak,Water leak into rear passenger footwell,Rear water leak,body,fluid_leak,low,medium,[],,,Damp or wet carpet in the rear passenger footwells.,,,[],Check rear footwell carpets for dampness or water stains.,1,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.8_TSI"", ""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
rear_suspension_knocking,Rear suspension knocking noise,Rear Suspension Knock,suspension,noise,low,high,[],early models,,"Knocking and rattling noise from the rear suspension, especially under 30mph.",Suspension component wear,Inspect and replace worn components,"[""Knocking noise"", ""Rattling noise""]",Listen for noises when driving over bumps at low speed.,1,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""early models"", ""from_llm_year_parsed"": [""2013-2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2015""}",2013-2015,"[""CJXC"", ""DJHA"", ""DNUE""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
start_button_finish_flaking,Start button finish flakes off,Start Button Wear,electrical,wear_item,low,medium,[],,,The finish on the start button tends to flake off relatively quick.,Wear on the button coating from frequent use.,Replace start button or apply a protective cover.,"[""Worn appearance of start button""]",Visually inspect the start button for wear or flaking.,1,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Cosmetic issue.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015-2020""}",2015-2020,"[""all""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
sunroof_leaks,Panoramic sunroof leaks and drain clogging,Sunroof Leaks,body,fluid_leak,medium,high,[],,,"Water ingress into cabin, wet headliners, and electrical issues due to clogged or faulty sunroof drain tubes.",Clogged drain tubes or seal failure,Clear drain tubes or replace seals,"[""Damp headliner"", ""Water stains"", ""Electrical glitches""]",Check for water stains on headliner and test sunroof drainage.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,Affects models with panoramic sunroof.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
sunroof_seal_failure,Sunroof seal fitment or size issue,Sunroof Seal,body,fluid_leak,medium,medium,[],,,Potential water ingress due to faulty sunroof seal.,,,[],,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
timing_cover_oil_leak_1_8_tsi,Oil leak from upper timing cover,Timing cover leak,engine,fluid_leak,low,high,"[""1.8_TSI""]",,,Oil leak originating from the upper timing chain cover area.,,,"[""Oil leak from timing cover""]",Inspect upper timing cover area for oil residue.,1,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
torsion_beam_suspension_ride,Harsh ride on torsion beam suspension,Harsh Ride,suspension,structural,low,high,[],,,Noticeably harsher and less composed ride over poor surfaces compared to multi-link rear suspension.,Torsion beam rear suspension design,Aftermarket suspension upgrades or live with it,"[""Firm ride"", ""Poor surface compliance""]",Test drive on rough roads to assess ride comfort.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,"Design characteristic, not a failure.",1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.6_TDI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
turbo_seizure_2015_models,Turbo seizure and failure,Turbo Failure,engine,chronic_failure,high,medium,"[""all""]",2015,,Turbo completely seizes up and fails.,Turbocharger seizure,Replace turbocharger,"[""Loss of power"", ""Unusual turbo noises""]",Check for turbo performance and listen for abnormal sounds,1,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""Watch This Before Buying a Volkswagen Golf MK7 2015-2021"", ""channel"": ""AutoMotivate"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Specific mention of 2015 model year,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2015"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015""}",2015,,
turbo_wastegate_actuator_failure,Turbo wastegate actuator failure,Wastegate failure,engine,sensor_fault,medium,high,"[""1.2_TSI"", ""1.4_TSI""]",,,"Loss of turbo boost pressure, reduced power, or check engine light due to a failed wastegate actuator.",Failed wastegate actuator,,"[""Loss of boost"", ""Reduced power"", ""Check engine light""]",Check for boost pressure issues and diagnostic trouble codes.,1,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
turbo_wastegate_rattle,Turbocharger wastegate rattle,Wastegate Rattle,engine,noise,low,high,"[""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,Metallic rattling noise from turbo area during acceleration or deceleration due to worn wastegate linkage.,Worn wastegate linkage or actuator,Replace turbocharger or repair linkage,"[""Rattling from turbo"", ""Noise on throttle change""]",Listen for rattling during acceleration/deceleration.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,Annoying but not always critical.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
turbocharger_seal_failure,Turbocharger to manifold seal failure,Turbo seal failure,engine,chronic_failure,high,high,"[""2.0_TSI""]",2015 to 2017,,Turbo failure on specific 702N unit due to seal weakness.,Seal weakness on 702N turbo unit,,"[""Turbo failure symptoms""]",Check turbo unit model and for signs of failure.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Specific to 702N turbo unit.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2015 to 2017"", ""from_llm_year_parsed"": [""2015-2017""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015-2017""}",2015-2017,,
vacuum_leaks_aging,Vacuum leaks in older cars,Vacuum leaks,engine,intermittent_fault,low,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",oldest or higher mileage cars,,"Rough idle, unstable engine operation, or check engine light due to cracked vacuum hoses or faulty PCV valve.",,,"[""Rough idle"", ""Unstable operation"", ""Check engine light""]",Inspect vacuum hoses and PCV valve for cracks or damage.,1,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""oldest or higher mileage cars"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
water_ingress_body_seals,Water ingress from door speaker and rear light seals,Water leaks,body,fluid_leak,medium,high,[],,,"Water leaks into the cabin soaking carpets from door speaker seals, and into the boot from deteriorated rear light foam seals or a broken boot drain pipe.","Failed foam seals on rear lights, improper door speaker seal reinstallation, or fractured boot drain pipe.","Replace rear light seals, reseal door speakers, and inspect/replace boot drain pipe.","[""Damp carpets"", ""Water in boot"", ""Musty smell""]","Check boot spare wheel well and cabin carpets for dampness, inspect rear light seals and door speaker areas.",1,1,"[{""video_id"": ""qV3O9yHTuD8"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,"Consolidates door speaker seal leak, boot drain pipe fracture, and rear light foam seal failure.",1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
water_ingress_footwell,Water ingress into passenger footwell,Footwell Leak,body,fluid_leak,medium,medium,[],,,Discolored or damp carpet on passenger side.,,,[],,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
water_pump_cover_stuck_closed,Water pump cover stuck closed causing overheating,Water Pump Cover,cooling,intermittent_fault,high,high,"[""1.6_TDI"", ""2.0_TDI""]",,,Engine overheats because the coolant does not circulate.,Water pump cover mechanism stuck closed,Repair or replace water pump assembly,"[""Engine overheating"", ""No coolant flow""]",Check for overheating issues and coolant circulation,1,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""TDI"": 1}",1,TDI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
water_pump_failure,Plastic water pump impeller failure,Water Pump Failure,cooling,chronic_failure,medium,high,"[""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,Coolant leaks and overheating from premature failure of the plastic impeller.,Plastic impeller degradation,"Replace water pump, possibly with updated part","[""Coolant loss"", ""Overheating""]",Check for coolant leaks around pump and monitor coolant level.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
wiper_smearing,Driver's side wiper smears windscreen,Wiper smear,body,wear_item,low,high,[],,,The driver's side wiper can smear the windscreen when it rains.,Worn wiper blade or improper arm alignment.,Replace wiper blade or adjust wiper arm.,"[""Streaking"", ""Reduced visibility""]",Test wipers in wet conditions during pre-purchase inspection.,1,1,"[{""video_id"": ""TPoLnxbsqUE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,high,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
