issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes,merged_from_issue_ids,engine_year_context,model_scope,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
front_top_mount_wear,Front suspension top mount wear,Top mount wear,suspension,wear_item,medium,high,[],,,Creaking or knocking noises from the front suspension.,Top mounts or top mount bearings wear out quickly.,Replace the worn top mounts or bearings.,"[""Creaking over bumps"", ""Knocking on steering input""]",Listen for front suspension noises during test drive over bumps and while turning.,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
fuel_flap_lock_sticky,Fuel flap lock becomes sticky,Sticky fuel flap,body,chronic_failure,low,high,[],,,The fuel filler door does not open correctly.,The fuel flap lock mechanism can be sticky.,Apply silicon spray or replace the actuator.,"[""Fuel flap does not pop open""]",Test fuel flap release operation.,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
fuel_injector_fouling_misfire,Fuel injector fouling causing misfires,Injector fouling,fuel,intermittent_fault,medium,medium,"[""1.4_TSI"", ""1.5_TSI""]",,,"Engine misfires, scan indicates fuel injector fault.",,Clean or replace fuel injectors.,"[""Check engine light"", ""Misfire codes""]",Scan for fault codes related to fuel injectors.,1,"[{""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2018""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2018""}",2018,,
fuel_rail_leak,Fuel rail leak,Fuel leak,fuel,fluid_leak,high,high,[],,,Gasoline leak from fuel rail.,Suspect fuel rail component.,Recall for inspection and replacement.,"[""Fuel smell"", ""Visible leak""]",Check for fuel odors and visible leaks around fuel rail.,1,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2019""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2019""}",2013-2019,,
fuel_suction_pump_recall,Fuel tank suction pump recall,Fuel pump recall,fuel,chronic_failure,high,high,"[""all""]",,,Potential fire risk due to component accumulation.,,Free dealership recall repair.,"[""Fuel system warnings""]",Check recall status with VIN.,1,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,,
haldex_system_failure,Haldex system loses rear drive,Haldex failure,other,chronic_failure,high,high,[],,,Front wheels spin under acceleration with no rear drive assistance.,Lack of maintenance leads to system failure.,"Service the Haldex system, clean filter, and change oil.","[""Front wheel spin in wet"", ""4WD warning light""]",Check Haldex service history; test traction on slippery surface.,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""2.0_TSI""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
halogen_bulb_replacement,Original halogen bulbs recommended for replacement,Bulb upgrade,electrical,wear_item,low,high,[],,,Original halogen bulbs are noted for potential improvement.,,Replacing original halogen bulbs with Osram alternatives works for many.,"[""Dim headlights""]",Check headlight brightness and consider upgrade.,1,"[{""video_id"": ""TPoLnxbsqUE"", ""title"": ""Volkswagen Golf Mk7 used review: the best Golf EVER?""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
heated_mirror_glass_crack,Heated mirror glass cracks and falls off,Mirror glass crack,electrical,structural,low,medium,[],,,The side mirror glass cracks and falls off.,Using the heated mirror function too much causes the glass to crack.,Replace the mirror glass.,"[""Cracked mirror glass""]",Inspect mirror glass for cracks or damage.,1,"[{""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
ignition_coil_pack_failure,Ignition coil pack failure,Coil failure,engine,sensor_fault,medium,medium,"[""2.0_TSI""]",,,"Poor engine running, rough idle, and misfire fault codes (P0300-P0304).",,,"[""Misfires"", ""Rough idle""]",Check for misfire codes and inspect coil packs.,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
ignition_coils_stuck_removal,Ignition coils stuck during removal,Stuck coils,engine,wear_item,low,medium,"[""1.2_TSI"", ""1.4_TSI"", ""1.8_TSI"", ""1.5_TSI""]",,,Ignition coils break when trying to remove them for spark plug changes.,,,"[""Difficulty removing coils during service""]",Ask about last spark plug change and if coils were replaced or damaged.,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020""}]",youtube,low,,,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}]","[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2014""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2014""}",2013-2014,,
interior_water_leaks,Interior water leaks,Water leaks,body,chronic_failure,medium,medium,[],,,Interiors leaking.,,,"[""Damp carpets or musty smell""]",Check floor mats and carpets for moisture.,1,"[{""video_id"": ""uWlJroGaFS0"", ""title"": ""Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.""}]",youtube,low,Symptom description is vague.,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.4_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
manual_clutch_pulsation,Manual clutch pulsation,Clutch pulsation,gearbox,wear_item,medium,medium,"[""1.6_TDI"", ""2.0_TDI"", ""2.0_TSI"", ""1.4_TSI""]",,,Pulsation felt through the foot when the clutch is depressed with the engine running.,,New clutch or flywheel may be required.,"[""Pulsation through clutch pedal""]",Feel for vibration when depressing clutch pedal with engine running.,1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
manual_clutch_slippage,Manual clutch slips and shreds,Clutch slippage,gearbox,wear_item,high,high,"[""2.0_TSI""]",,,"The clutch slips, especially under power.","Clutch is a weak point, even with standard power.",Replace the clutch assembly.,"[""RPM rises without acceleration"", ""Burning smell""]",Test clutch under hard acceleration in higher gears.,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
oil_cap_seal_leak,Oil cap seal leak,Oil cap leak,engine,fluid_leak,low,high,"[""1.8_TSI"", ""2.0_TSI""]",,,Oil mist or residue around the oil cap.,Original oil cap does not provide a perfect seal.,Install updated oil cap.,"[""Oil residue on cap""]",Check for oil around the oil cap during inspection.,1,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
oil_pump_belt_disintegration,Oil pump belt disintegration,Oil pump belt,engine,chronic_failure,high,medium,"[""1.6_TDI"", ""2.0_TDI""]",,,Low oil pressure due to clogged oil strainer.,"The rubber oil pump drive belt slowly disintegrates, and its particles clog the oil strainer.","Replace the oil pump belt, ideally with the timing belt.","[""Low oil pressure warning""]",Check service history for oil pump belt replacement.,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
oil_scraper_ring_clogging,Oil scraper ring clogging causing excessive oil consumption,Oil scraper ring clogging,engine,chronic_failure,high,medium,"[""2.0_TDI""]",,200k+ km,"Excessive oil consumption, up to 1 liter per 1000 km.",Clogged oil scraper rings.,,"[""High oil consumption""]",Check oil consumption history and service records.,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
panoramic_roof_rattle_leak,Panoramic roof rattles and water leaks,Roof rattle/leak,body,noise,medium,medium,[],,,"Rattling noises on uneven roads, water leaks after heavy rain, or clogged drainage channels.",,,"[""Rattling from roof"", ""Water leaks inside""]","Check for water stains on headliner, test drive on rough roads, inspect roof drains.",1,"[{""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
parcel_shelf_clip_failure,Parcel shelf retaining clip failure,Shelf Clip,body,wear_item,low,high,[],,,Parcel shelf not staying in place.,,,"[""Rattling from rear shelf""]",Check parcel shelf clips for breakage.,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
pcv_valve_hose_oil_leak,PCV valve or hose oil leak,PCV oil leak,engine,fluid_leak,low,medium,"[""1.4_TSI""]",,,"Oil leak around PCV valve or inlet pipe, with gunk or residue present.",PCV valve failure or hose deterioration.,Replace PCV valve or hose.,"[""Oil residue near valve cover""]",Inspect PCV area for oil buildup.,1,"[{""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
plastic_oil_pan_plug_leak,Plastic oil pan drain plug leak,Oil pan plug leak,engine,fluid_leak,medium,high,"[""2.0_TSI""]",,,Oil leaks from the oil pan.,Plastic drain plug is not designed for reuse.,Replace plastic drain plug after every oil change.,"[""Oil spots under car""]",Inspect oil pan area for leaks and check service history for plug replacement.,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
rear_footwell_water_ingress,Water ingress in rear footwells,Rear water leak,body,fluid_leak,medium,high,[],,,The rear passenger footwell carpet is damp or wet.,"Seal around the speakers fails, letting in rainwater.",Repair or replace the speaker seals.,"[""Damp carpet smell"", ""Visible moisture""]",Check rear footwell carpets for dampness and inspect speaker seals.,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
rear_head_restraint_recall,Rear head restraint recall,Head Restraint Recall,body,other,medium,high,[],2018 and 2019,,,,Recall to repair/replace.,"[""Recall notice""]",Verify recall completion with VIN check.,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""2018 and 2019"", ""from_llm_year_parsed"": [""2018-2019""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2018-2019""}",2018-2019,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
rear_shock_absorber_knocking,Rear suspension knocking noise,Rear shock knock,suspension,noise,low,medium,[],early models,,"Knocking and rattling noise from the rear suspension, especially under 30mph.",Design of standard Sachs shock absorbers.,Replace with Bilstein shock absorbers (part BLS19-230559).,"[""Knocking noise from rear""]",Test drive at low speeds to listen for rear suspension noise.,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""early models"", ""from_llm_year_parsed"": [""2013-2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2015""}",2013-2015,"[""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
rear_suspension_bushing_premature_wear,Premature rear suspension bushing wear causing knocking,Suspension bushing wear,suspension,wear_item,medium,medium,[],,,Knocking noises over bumps or vague handling at higher speeds.,,,"[""Knocking over bumps"", ""Vague handling""]",Check for suspension noises and play during test drive.,1,"[{""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
sunroof_leak,Sunroof water leak and drainage failure,Sunroof leak,body,fluid_leak,low,medium,[],,,"Water accumulation or stains on headliner, sun visors, or around sunroof.",Sunroof seal or drainage failure.,Repair sunroof seal or drainage system.,"[""Water stains on headliner""]",Check for moisture or stains around sunroof and visors.,1,"[{""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.4_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
sunroof_rattle,Sunroof rattles and makes noise,Sunroof rattle,body,noise,low,high,[],,,Sunroof rattles and makes a lot of noise while driving.,,,"[""Rattling from roof""]",Test drive with sunroof closed to listen for noises.,1,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
sunroof_seal_failure,Sunroof seal incorrectly fitted causing water leaks,Sunroof seal failure,body,fluid_leak,medium,high,[],,,Potential water leaks around the sunroof.,Seal wrongly fitted or inadequately sized part from factory.,Check seal; several service bulletins and recalls should have resolved affected models.,"[""Water stains on headliner""]",Inspect sunroof seal and check for water damage inside cabin.,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
takata_airbag_recall,Takata airbag inflator rupture risk,Airbag Recall,body,other,high,high,[],2014,,Potential for metal fragments during airbag deployment.,"Airbag inflator absorbing moisture over time, creating excessive pressure.",Recall campaign (69Q7) to replace airbag.,"[""Recall notice""]",Verify recall completion with VIN check.,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,high,Major safety recall affecting many manufacturers.,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""2014"", ""from_llm_year_parsed"": [""2014""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2014""}",2014,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
timing_belt_tensioner_premature_failure,Premature timing belt tensioner failure,Timing belt tensioner,engine,chronic_failure,high,medium,"[""1.6_TDI"", ""2.0_TDI""]",,before 150k km,"Strange hissing, chirping, or squeaking noises from the timing belt area after cold start.",Failing tensioner pulley.,,"[""Hissing or chirping noise after cold start""]",Listen for unusual noises from timing belt cover on cold start.,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
timing_chain_stretch,Timing chain stretch and rattle,Timing chain rattle,engine,chronic_failure,high,medium,"[""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI""]",,,Rattling noise from the engine.,Stretch timing belt chain.,,"[""Rattling noise from engine""]",Listen for rattling on cold start.,1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}]",youtube,medium,,,"[{""engine"": ""1.5_TSI"", ""years"": ""2017"", ""evidence_hits"": 2}]","[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2017""], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""regex_enrichment_only"", ""confidence"": ""medium"", ""triangulated"": ""2017""}",2017,,
